Round,Team,Home/Away,Day,Month,Period,Data availability
1,Moreton Bay United,Away,26,2,1,Y
2,Redlands United,Away,4,3,1,Y
3,Sunshine Coast Wanderers,Away,14,3,1,Y
4,Brisbane City,Away,18,3,1,Y
5,Brisbane Roar Youth,Away,26,3,1,Y
6,Peninsula Power,Away,9,4,1,N
7,Lions FC,Away,23,4,1,Y
8,Gold Coast United,Home,30,4,1,Y
9,Rochedale Rovers,Away,5,5,1,N
10,Gold Coast Knights,Home,14,5,1,N
11,Eastern Suburbs,Away,19,5,1,N
12,Moreton Bay United,Home,4,6,2,N
13,Redlands United,Home,11,6,2,N
14,Sunshine Coast Wanderers,Home,18,6,2,N
15,Brisbane City,Home,25,6,2,N
16,Brisbane Roar Youth,Away,8,7,2,N
17,Peninsula Power,Away,14,7,2,N
18,Lions FC,Home,23,7,2,N
19,Gold Coast United,Away,30,7,2,N
20,Rochedale Rovers,Home,13,8,2,N
21,Gold Coast Knights,Away,20,8,2,N
22,Eastern Suburbs,Home,26,8,2,N
,,,,,,
,,,,,,
