Round,Date,Home team,Home team code,Home score,Away team,Away team code,Away score,Data availability
4,19/03/2022,Eastern Suburbs,EAS,3,Capalaba FC,CAP,2,Y
4,19/03/2022,Olympic FC,BOL,1,Brisbane City,BCT,0,Y
4,19/03/2022,Lions,LIO,3,Gold Coast Knights,GCK,6,Y
4,20/03/2022,Brisbane Roar Youth,BRR,2,Logan Lightning,LIG,2,Y
4,20/03/2022,Sunshine Coast Wanderers,SCW,2,Peninsula Power,PEN,0,Y
4,20/03/2022,Gold Coast United,GCU,1,Moreton Bay United,MBJ,1,Y
2,26/03/2022,Capalaba FC,CAP,0,Gold Coast Knights,GCK,2,Y
2,26/03/2022,Gold Coast United,GCU,2,Brisbane City,BCT,1,Y
2,26/03/2022,Lions,LIO,4,Peninsula Power,PEN,3,Y
2,27/03/2022,Brisbane Roar Youth,BRR,0,Olympic FC,BOL,5,Y
2,27/03/2022,Sunshine Coast Wanderers,SCW,3,Logan Lightning,LIG,0,Y
5,1/04/2022,Logan Lightning,LIG,1,Gold Coast United,GCU,0,Y
5,2/04/2022,Gold Coast Knights,GCK,3,Brisbane City,BCT,1,Y
5,2/04/2022,Peninsula Power,PEN,5,Eastern Suburbs,EAS,0,Y
5,2/04/2022,Moreton Bay United,MBJ,2,Olympic FC,BOL,3,Y
5,2/04/2022,Lions,LIO,6,Sunshine Coast Wanderers,SCW,1,Y
5,3/04/2022,Capalaba FC,CAP,0,Brisbane Roar Youth,BRR,5,Y
6,9/04/2022,Olympic FC,BOL,3,Logan Lightning,LIG,2,Y
6,9/04/2022,Moreton Bay United,MBJ,0,Brisbane City,BCT,2,Y
6,10/04/2022,Sunshine Coast Wanderers,SCW,1,Gold Coast Knights,GCK,1,Y
6,10/04/2022,Peninsula Power,PEN,3,Brisbane Roar Youth,BRR,1,Y
6,10/04/2022,Gold Coast United,GCU,2,Capalaba FC,CAP,0,Y
6,10/04/2022,Eastern Suburbs,EAS,1,Lions,LIO,4,Y
